1,L001,7mo anillo Av. Miguel de Cervantes calle Los Ceibos,,,https://res.cloudinary.com/drxr7czpf/image/upload/v1630622084/p4342jsygtdplzgtkbbd.jpg,Linea 1
2,L002,7mo anillo entre Av. Radial 16 y Av. Marcelo Quiroga Sta. Cruz,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/glph3kke57gssd1ebddd,Linea 2
5,L005,6to anillo entre Av. Pirai y Av. Radial 17(1/2) ,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/mab9d3e0fbiybelaxg3n,Linea 5
8,L008,Adventista Plan Tres Mil/Avenida Principal Plan 3 Mil,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/jincwsv9eglld3qpwsqj,Linea 8
9,L009,4to Anillo Av. Bush Calle #6,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/dkc7kb4fdcj2ffrjnaj9,Linea 9
10,L010,8vo Anillo Av. Cristo Redentor Urbanizacion el Remanso,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/bjd1krmdmpzkqlhfth0s,Linea 10
11,L011,9no Anillo Av. Arroyitos,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/gcsntabsgc7ctxtihs7i,Linea 11
16,L016,8vo Anillo Av. Mutualista Calle 27 de Mayo,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/umpe2chjptjzli4xtblt,Linea 16
17,L017,Av. Argentina Calle Tte. Roca Peirano 161,,,blob:https://web.whatsapp.com/561228df-58bc-4127-b3cb-bc55233503fb,Linea 17
18,L018,Av. Argentina Calle Tte. Roca Peirano 161,,,https://res.cloudinary.com/dyiopsjbb/image/upload/w_256/htaimhg7vgr4veciwibo,Linea 18
